Person_ID,Person ID,AGE,GENDER,Date Reported Missing,Time Reported Missing,Date Last Seen,Location Last Seen,Post URL,Time_Obj,Age_Group,City_Cleaned,Barangay_Cleaned,District_Cleaned,Latitude,Longitude,Location_Match_Level,Location_Match_Score,Year,Hour_Missing
MP-0001,,59,Male,2020-01-14,12:48 PM,2019-12-14,"Malate, Manila",https://www.facebook.com/share/p/1Fp5H7uddW/,2025-12-11 12:48:00,Adult,Manila City,,Malate,14.5714,120.9904,district,1.0,2020.0,12.0
MP-0002,,41,Male,2020-01-24,5:12 PM,2021-01-16,"Sampaloc, Manila",https://www.facebook.com/share/p/1CwZW3pbpf/,2025-12-11 17:12:00,Adult,Manila City,,Sampaloc,14.6133,121.0003,district,1.0,2020.0,17.0
MP-0003,,43,Male,2020-02-09,7:03 PM,,"Tondo, Manila",https://www.facebook.com/share/p/1CoiXoTEjb/,2025-12-11 19:03:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,1.0,2020.0,19.0
MP-0004,,14,Male,2020-02-15,12:19 PM,,"Binondo, Manila",https://www.facebook.com/share/p/17Umn23xj9/,2025-12-11 12:19:00,Young Teen,Manila City,,Binondo,14.6006,120.9754,district,1.0,2020.0,12.0
MP-0005,,16,Male,2020-03-23,12:25,2025-03-11,"Paco,. Manila",https://www.facebook.com/share/p/1BhMzYvEJN/,2025-12-11 12:25:00,Teen,Manila City,,Paco,14.5833,120.9961,district,1.0,2020.0,12.0
MP-0006,,29,Male,2020-11-30,5:16 PM,,"Tondo, Manila",https://www.facebook.com/share/p/162jFGmwqA/,2025-12-11 17:16:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,1.0,2020.0,17.0
MP-0007,,55,Male,2020-12-26,7:34 PM,2020-12-16,"Tondo, Manila",https://www.facebook.com/share/p/1EjVdH5BYz/,2025-12-11 19:34:00,Adult,Manila City,,Tondo,14.6186,120.9681,district,1.0,2020.0,19.0
MP-0008,,25,Male,2021-02-06,5:31 PM,,"Ermita, Manila",https://www.facebook.com/share/p/17hJLX9nYt/,2025-12-11 17:31:00,Adult,Manila City,,Ermita,14.5826,120.9843,district,1.0,2021.0,17.0
MP-0009,,54,Male,2021-02-15,2:32 PM,,"Sampaloc, Manila",https://www.facebook.com/share/p/1Fu2urU9iu/,2025-12-11 14:32:00,Adult,Manila City,,Sampaloc,14.6133,121.0003,district,1.0,2021.0,14.0
MP-0010,,40,Male,,9:43 AM,,"Malate, Manila",https://www.facebook.com/share/p/15VT7vG2yY8/,2025-12-11 09:43:00,Adult,Manila City,,Malate,14.5714,120.9904,district,1.0,,9.0
MP-0011,,41,Female,,5:00 PM,,"Malate (in front of placement agency, Quirino Ave., Malate)",https://www.gmanetwork.com/news/serbisyopubliko/missingpersons/777104/missing-persons-haj-muslimen-mantawil-saban-and-bai-monerah-rajamuda-pandalat-saban/story/,2025-12-11 17:00:00,Adult,Manila City,,Malate,14.5714,120.9904,district,1.0,,17.0
MP-0012,,51,Male,,5:00 PM,,"Malate (in front of placement agency, Quirino Ave., Malate)",https://www.gmanetwork.com/news/serbisyopubliko/missingpersons/777104/missing-persons-haj-muslimen-mantawil-saban-and-bai-monerah-rajamuda-pandalat-saban/story/,2025-12-11 17:00:00,Adult,Manila City,,Malate,14.5714,120.9904,district,1.0,,17.0
